RE or Non-RE,Group Technology,Year,Electricity Installed Capacity (MW),Electricity Generation (GWh),Heat Generation (TJ),Public Flows (2022 USD M),SDG 7a1 Intl. Public Flows (2022 USD M)
Total Renewable,Geothermal energy,2000,8272.70,52571.04,18314.00,0.44,0.46
Total Renewable,Geothermal energy,2001,7960.70,51678.62,18980.00,,
Total Renewable,Geothermal energy,2002,8113.20,52604.68,19525.00,2.92,0.75
Total Renewable,Geothermal energy,2003,8188.10,53775.78,19298.00,0.23,0.22
Total Renewable,Geothermal energy,2004,8208.80,56060.82,19729.00,93.62,99.05
Total Renewable,Geothermal energy,2005,8555.82,58466.67,23810.79,196.69,228.12
Total Renewable,Geothermal energy,2006,8758.72,59769.35,23844.27,9.76,11.29
Total Renewable,Geothermal energy,2007,9012.74,62668.88,29422.13,8.32,8.76
Total Renewable,Geothermal energy,2008,9319.02,65262.18,30248.17,2.45,2.04
Total Renewable,Geothermal energy,2009,9754.42,67289.73,30260.85,431.39,203.63
Total Renewable,Geothermal energy,2010,9914.72,68436.18,31171.11,760.98,692.43
Total Renewable,Geothermal energy,2011,10058.47,69796.18,31134.55,902.06,926.21
Total Renewable,Geothermal energy,2012,10517.57,70876.70,32886.85,440.18,449.43
Total Renewable,Geothermal energy,2013,10786.37,72408.02,34326.97,338.76,291.42
Total Renewable,Geothermal energy,2014,11244.42,77343.67,37258.36,1232.41,1358.92
Total Renewable,Geothermal energy,2015,11843.47,81228.85,41904.10,1211.67,1205.05
Total Renewable,Geothermal energy,2016,12169.37,83240.84,46298.70,1131.69,896.28
Total Renewable,Geothermal energy,2017,12753.98,86705.04,46424.24,1487.88,1462.69
Total Renewable,Geothermal energy,2018,13196.48,89464.92,50911.15,1045.52,1123.78
Total Renewable,Geothermal energy,2019,13823.76,92001.80,51386.39,373.53,385.26
Total Renewable,Geothermal energy,2020,14164.78,95452.99,49412.00,573.50,430.97
Total Renewable,Geothermal energy,2021,14450.98,94618.03,50224.11,757.75,497.03
Total Renewable,Geothermal energy,2022,14695.64,97277.01,47078.73,53.51,52.88
Total Renewable,Geothermal energy,2023,15091.52,98158.58,48220.27,54.15,
Total Renewable,Geothermal energy,2024,15411.61,,,,
Total Renewable,Marine energy,2000,238.25,546.77,,0.01,0.01
Total Renewable,Marine energy,2001,240.25,524.39,,,
Total Renewable,Marine energy,2002,243.25,533.89,,,
Total Renewable,Marine energy,2003,244.25,530.83,,,
Total Renewable,Marine energy,2004,243.25,508.63,,,
Total Renewable,Marine energy,2005,241.25,516.35,,,
Total Renewable,Marine energy,2006,240.25,490.72,,0.40,0.43
Total Renewable,Marine energy,2007,242.55,496.02,,,
Total Renewable,Marine energy,2008,245.55,487.85,,0.01,0.01
Total Renewable,Marine energy,2009,244.55,486.92,,0.08,0.09
Total Renewable,Marine energy,2010,249.90,514.32,,0.08,0.08
Total Renewable,Marine energy,2011,247.93,513.46,,,
Total Renewable,Marine energy,2012,254.66,498.35,,0.03,0.04
Total Renewable,Marine energy,2013,509.97,925.99,,0.41,0.45
Total Renewable,Marine energy,2014,512.78,999.16,,0.06,0.07
Total Renewable,Marine energy,2015,513.29,1008.00,,0.09,0.10
Total Renewable,Marine energy,2016,523.91,1043.85,,11.98,
Total Renewable,Marine energy,2017,526.87,1049.56,,,
Total Renewable,Marine energy,2018,526.85,1022.77,,,
Total Renewable,Marine energy,2019,524.83,996.35,,2.69,2.88
Total Renewable,Marine energy,2020,491.14,986.38,,,
Total Renewable,Marine energy,2021,490.56,972.33,,0.01,0.01
Total Renewable,Marine energy,2022,492.14,957.63,,0.25,0.27
Total Renewable,Marine energy,2023,492.09,919.27,,,
Total Renewable,Marine energy,2024,493.69,,,,
Total Renewable,Bioenergy,2000,31108.18,146422.47,279713.05,13.83,14.72
