Region,RE or Non-RE,Group Technology,Year,Electricity Installed Capacity (MW),Electricity Generation (GWh),Heat Generation (TJ),Public Flows (2022 USD M),SDG 7a1 Intl. Public Flows (2022 USD M)
Africa,Total Renewable,Geothermal energy,2000,65.30,432.00,,0.30,0.33
Africa,Total Renewable,Geothermal energy,2001,65.30,474.50,,,
Africa,Total Renewable,Geothermal energy,2002,65.30,438.00,,0.25,0.24
Africa,Total Renewable,Geothermal energy,2003,65.30,588.00,,,
Africa,Total Renewable,Geothermal energy,2004,135.30,911.50,,45.48,47.18
Africa,Total Renewable,Geothermal energy,2005,135.30,1019.00,,45.14,48.41
Africa,Total Renewable,Geothermal energy,2006,135.30,1030.00,,0.08,0.08
Africa,Total Renewable,Geothermal energy,2007,135.30,1060.50,,,
Africa,Total Renewable,Geothermal energy,2008,135.30,1144.00,,,
Africa,Total Renewable,Geothermal energy,2009,170.30,1301.15,,32.07,32.99
Africa,Total Renewable,Geothermal energy,2010,205.30,1401.09,,682.19,610.59
Africa,Total Renewable,Geothermal energy,2011,205.30,1496.81,,489.76,468.97
Africa,Total Renewable,Geothermal energy,2012,212.80,1586.88,,205.81,210.58
Africa,Total Renewable,Geothermal energy,2013,212.80,1906.05,,7.22,7.33
Africa,Total Renewable,Geothermal energy,2014,373.40,3206.09,,310.08,322.36
Africa,Total Renewable,Geothermal energy,2015,626.20,4481.10,,22.89,24.65
Africa,Total Renewable,Geothermal energy,2016,660.20,4688.93,,419.45,487.03
Africa,Total Renewable,Geothermal energy,2017,680.20,4870.16,,55.25,59.42
Africa,Total Renewable,Geothermal energy,2018,691.10,5168.44,,123.55,140.33
Africa,Total Renewable,Geothermal energy,2019,691.10,5383.86,,37.37,39.89
Africa,Total Renewable,Geothermal energy,2020,870.43,5384.88,,2.17,1.95
Africa,Total Renewable,Geothermal energy,2021,870.43,5182.69,,117.72,123.92
Africa,Total Renewable,Geothermal energy,2022,957.03,5726.96,,22.14,23.55
Africa,Total Renewable,Geothermal energy,2023,992.03,6085.66,,44.73,
Africa,Total Renewable,Geothermal energy,2024,947.03,,,,
Africa,Total Renewable,Marine energy,2000,,,,,
Africa,Total Renewable,Marine energy,2001,,,,,
Africa,Total Renewable,Marine energy,2002,,,,,
Africa,Total Renewable,Marine energy,2003,,,,,
Africa,Total Renewable,Marine energy,2004,,,,,
Africa,Total Renewable,Marine energy,2005,,,,,
Africa,Total Renewable,Marine energy,2006,,,,,
Africa,Total Renewable,Marine energy,2007,,,,,
Africa,Total Renewable,Marine energy,2008,,,,,
Africa,Total Renewable,Marine energy,2009,,,,0.08,0.09
Africa,Total Renewable,Marine energy,2010,,,,0.08,0.08
Africa,Total Renewable,Marine energy,2011,,,,,
Africa,Total Renewable,Marine energy,2012,,,,0.03,0.04
Africa,Total Renewable,Marine energy,2013,,,,0.41,0.45
Africa,Total Renewable,Marine energy,2014,,,,,
Africa,Total Renewable,Marine energy,2015,,,,0.09,0.10
Africa,Total Renewable,Marine energy,2016,,,,,
Africa,Total Renewable,Marine energy,2017,,,,,
Africa,Total Renewable,Marine energy,2018,,,,,
Africa,Total Renewable,Marine energy,2019,,,,,
Africa,Total Renewable,Marine energy,2020,,,,,
Africa,Total Renewable,Marine energy,2021,,,,,
Africa,Total Renewable,Marine energy,2022,,,,0.01,0.01
Africa,Total Renewable,Marine energy,2023,,,,,
Africa,Total Renewable,Bioenergy,2000,800.68,2199.80,,1.64,1.75
Africa,Total Renewable,Bioenergy,2001,831.58,2235.24,,2.93,3.14
Africa,Total Renewable,Bioenergy,2002,853.58,2302.59,,1.95,2.07
Africa,Total Renewable,Bioenergy,2003,861.58,2274.28,,0.38,0.36
Africa,Total Renewable,Bioenergy,2004,870.58,2351.73,,3.21,3.40
Africa,Total Renewable,Bioenergy,2005,953.83,2383.40,,1.09,1.17
Africa,Total Renewable,Bioenergy,2006,886.20,2373.17,,0.01,0.01
Africa,Total Renewable,Bioenergy,2007,901.05,2347.93,,3.39,3.40
Africa,Total Renewable,Bioenergy,2008,945.67,2355.88,,74.33,111.57
Africa,Total Renewable,Bioenergy,2009,997.98,2461.69,,52.13,54.97
Africa,Total Renewable,Bioenergy,2010,1059.92,2557.00,,6.71,6.65
Africa,Total Renewable,Bioenergy,2011,1142.46,2609.55,,131.24,125.00
Africa,Total Renewable,Bioenergy,2012,1238.21,2879.64,,7.54,7.82
Africa,Total Renewable,Bioenergy,2013,1310.80,2983.24,,17.64,16.51
Africa,Total Renewable,Bioenergy,2014,1403.37,2913.66,,7.62,7.52
Africa,Total Renewable,Bioenergy,2015,1484.29,3047.18,,72.93,75.72
Africa,Total Renewable,Bioenergy,2016,1546.69,3274.71,,22.05,22.63
Africa,Total Renewable,Bioenergy,2017,1663.06,3166.44,,23.11,23.91
Africa,Total Renewable,Bioenergy,2018,1818.16,3363.34,,43.47,46.19
Africa,Total Renewable,Bioenergy,2019,1831.56,3397.09,,5.07,5.29
Africa,Total Renewable,Bioenergy,2020,1846.32,3271.96,,43.41,43.95
Africa,Total Renewable,Bioenergy,2021,1944.06,3231.15,,217.03,186.66
Africa,Total Renewable,Bioenergy,2022,1942.90,3242.02,,48.46,50.71
Africa,Total Renewable,Bioenergy,2023,2164.02,4087.43,,4.04,
Africa,Total Renewable,Bioenergy,2024,2241.52,,,,
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2000,20842.70,76120.53,,19.91,21.70
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2001,20964.75,82838.70,,4.52,4.79
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2002,21205.79,80907.14,,3.66,3.49
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2003,21583.07,82708.55,,1536.82,1576.47
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2004,21523.05,86847.37,,190.79,213.26
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2005,21549.70,93937.47,,781.51,823.22
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2006,21521.43,98434.91,,717.59,664.27
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2007,21722.22,96618.23,,2208.93,2279.12
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2008,22031.37,100162.74,,1134.42,1155.00
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2009,23820.57,106707.16,,491.49,503.12
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2010,24631.13,112094.56,,264.10,275.63
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2011,24781.67,113757.32,,1865.56,1897.77
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2012,25441.68,115331.43,,946.50,982.74
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2013,26539.32,121956.33,,3265.25,3132.45
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2014,26562.52,127045.10,,1213.57,713.63
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2015,27074.00,126078.18,,2085.71,2134.49
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2016,28002.19,122692.34,,5831.91,5685.20
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2017,30761.22,129753.96,,3859.69,3957.08
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2018,32133.02,138706.57,,3181.66,2958.55
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2019,32979.19,145042.19,,686.51,679.10
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2020,33798.40,150059.72,,824.58,864.60
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2021,34279.71,157501.36,,802.68,448.32
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2022,36025.87,162292.35,,362.47,377.61
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2023,37612.89,163746.70,,626.83,
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2024,38949.57,,,,
Africa,Total Renewable,Multiple renewables*,2000,,,,68.91,70.75
Africa,Total Renewable,Multiple renewables*,2001,,,,19.37,20.16
Africa,Total Renewable,Multiple renewables*,2002,,,,125.75,129.71
Africa,Total Renewable,Multiple renewables*,2003,,,,8.83,9.46
Africa,Total Renewable,Multiple renewables*,2004,,,,33.56,34.50
Africa,Total Renewable,Multiple renewables*,2005,,,,85.21,88.02
Africa,Total Renewable,Multiple renewables*,2006,,,,73.22,76.69
Africa,Total Renewable,Multiple renewables*,2007,,,,187.78,192.93
Africa,Total Renewable,Multiple renewables*,2008,,,,105.24,111.34
Africa,Total Renewable,Multiple renewables*,2009,,,,418.59,428.56
Africa,Total Renewable,Multiple renewables*,2010,,,,697.56,724.45
Africa,Total Renewable,Multiple renewables*,2011,,,,568.57,593.99
Africa,Total Renewable,Multiple renewables*,2012,,,,605.66,630.35
Africa,Total Renewable,Multiple renewables*,2013,,,,402.39,414.06
Africa,Total Renewable,Multiple renewables*,2014,,,,609.03,637.42
Africa,Total Renewable,Multiple renewables*,2015,,,,623.91,646.90
Africa,Total Renewable,Multiple renewables*,2016,,,,1411.06,1341.54
Africa,Total Renewable,Multiple renewables*,2017,,,,1794.28,1902.17
Africa,Total Renewable,Multiple renewables*,2018,,,,1053.22,1039.80
Africa,Total Renewable,Multiple renewables*,2019,,,,1607.92,1688.22
Africa,Total Renewable,Multiple renewables*,2020,,,,1219.46,1265.36
Africa,Total Renewable,Multiple renewables*,2021,,,,1714.23,1821.17
Africa,Total Renewable,Multiple renewables*,2022,,,,2426.67,2207.00
Africa,Total Renewable,Multiple renewables*,2023,,,,1583.36,
Africa,Total Renewable,Solar energy,2000,8.36,11.36,,4.34,4.61
Africa,Total Renewable,Solar energy,2001,9.91,13.61,,95.23,102.16
Africa,Total Renewable,Solar energy,2002,11.58,15.91,,27.92,29.74
Africa,Total Renewable,Solar energy,2003,13.42,18.45,,34.47,37.11
Africa,Total Renewable,Solar energy,2004,16.12,21.96,,1.11,1.21
Africa,Total Renewable,Solar energy,2005,19.01,26.24,,231.40,240.77
Africa,Total Renewable,Solar energy,2006,24.13,31.34,,17.48,18.31
Africa,Total Renewable,Solar energy,2007,30.40,37.21,,12.83,13.38
Africa,Total Renewable,Solar energy,2008,37.19,42.56,,323.47,344.93
Africa,Total Renewable,Solar energy,2009,73.23,63.66,,168.24,179.60
Africa,Total Renewable,Solar energy,2010,203.14,154.60,,219.52,232.16
Africa,Total Renewable,Solar energy,2011,280.77,576.62,,248.87,247.09
Africa,Total Renewable,Solar energy,2012,328.76,1032.11,,712.57,717.62
Africa,Total Renewable,Solar energy,2013,634.56,707.70,,852.72,851.66
Africa,Total Renewable,Solar energy,2014,1618.62,1989.42,,1737.85,1811.15
Africa,Total Renewable,Solar energy,2015,2125.92,3286.17,,1444.49,1434.52
Africa,Total Renewable,Solar energy,2016,3039.43,5109.67,,2458.69,2547.77
Africa,Total Renewable,Solar energy,2017,3790.26,6695.38,,1925.23,1980.97
Africa,Total Renewable,Solar energy,2018,5662.43,8515.95,,1522.15,1599.82
Africa,Total Renewable,Solar energy,2019,7235.54,11735.51,,1495.19,1505.47
Africa,Total Renewable,Solar energy,2020,8426.06,16584.71,,944.77,958.15
Africa,Total Renewable,Solar energy,2021,9539.83,19113.62,,1946.21,1953.90
Africa,Total Renewable,Solar energy,2022,12096.85,22360.63,,2706.41,2681.52
Africa,Total Renewable,Solar energy,2023,15605.34,27111.75,,4133.04,
Africa,Total Renewable,Solar energy,2024,18238.35,,,,
Africa,Total Renewable,Wind energy,2000,139.05,185.09,,0.00,
Africa,Total Renewable,Wind energy,2001,139.05,425.25,,30.49,32.56
Africa,Total Renewable,Wind energy,2002,144.31,455.16,,9.27,9.82
Africa,Total Renewable,Wind energy,2003,153.79,468.36,,128.92,149.29
Africa,Total Renewable,Wind energy,2004,236.11,639.09,,120.59,129.21
Africa,Total Renewable,Wind energy,2005,240.18,804.52,,114.42,121.94
Africa,Total Renewable,Wind energy,2006,327.91,809.90,,95.97,102.70
Africa,Total Renewable,Wind energy,2007,470.10,991.22,,122.62,132.06
Africa,Total Renewable,Wind energy,2008,555.30,1222.88,,241.50,259.93
Africa,Total Renewable,Wind energy,2009,742.40,1483.99,,190.09,205.28
Africa,Total Renewable,Wind energy,2010,864.78,2012.63,,1045.45,1139.70
Africa,Total Renewable,Wind energy,2011,994.98,2408.23,,65.87,70.19
Africa,Total Renewable,Wind energy,2012,1131.99,2831.05,,187.61,193.37
Africa,Total Renewable,Wind energy,2013,1741.83,3500.25,,482.63,495.44
Africa,Total Renewable,Wind energy,2014,2399.40,4477.78,,792.72,770.66
Africa,Total Renewable,Wind energy,2015,3320.27,5457.56,,91.95,98.09
Africa,Total Renewable,Wind energy,2016,3831.39,7006.72,,925.43,629.26
Africa,Total Renewable,Wind energy,2017,4579.26,7156.65,,458.06,497.46
Africa,Total Renewable,Wind energy,2018,5471.65,7849.85,,94.79,75.12
Africa,Total Renewable,Wind energy,2019,5528.85,9731.63,,549.50,576.38
Africa,Total Renewable,Wind energy,2020,6514.75,10746.09,,214.43,228.54
Africa,Total Renewable,Wind energy,2021,6909.75,12741.78,,108.14,101.96
Africa,Total Renewable,Wind energy,2022,7745.85,12998.83,,457.03,163.33
Africa,Total Renewable,Wind energy,2023,8866.33,14954.70,,104.47,
Africa,Total Renewable,Wind energy,2024,9574.68,,,,
Africa,Total Non-Renewable,Pumped storage,2000,1400.00,1838.00,,,
