year,generation
2013,123.77
2014,162.9
2015,97.39
2016,137.76
2013,18.43
2014,17.48
2015,18.25
2016,17.7
2013,18.64
2014,17.58
2015,19.1
2016,17.62
2013,225.06
2014,203.55
2015,146.9
2016,230.18
2013,406.16
2014,357.22
2015,270.99
2016,395.38
2013,58.77
2014,54.42
2015,42.71
2016,59.72
2013,21.99
2014,21.19
2015,18.4
2016,25.34
2013,123.23
2014,82.87
2015,69.15
2016,93.83
2013,105.17
2014,75.26
2015,79.5
2016,105.45
2013,1976.01
2014,1276.61
2015,1503.72
2016,1795.15
2013,2072.13
2014,1618.73
2015,1805.63
2016,2434.84
2013,20.37
2014,12.89
2015,14.64
2016,20.04
2013,93.52
2014,69.86
2015,77.51
2016,96.2
2013,97.42
2014,72.77
2015,80.74
2016,100.21
2013,895.02
2014,561.94
2015,614.47
2016,897.47
2014,35.22
2015,34.22
2016,35.33
2014,38.68
2015,37.56
2016,38.37
2014,34.85
2015,33.67
2016,34.54
2014,33.42
2015,33.58
2016,34.75
2014,80.98
2015,81.84
2016,85.66
2014,33.64
2015,33.68
2016,33.63
2014,73.79
2015,72.11
2016,74.36
2014,8.93
2015,8.71
2016,8.72
2014,17.31
2015,16.85
2016,17.16
2014,28.56
2015,28.61
2016,28.69
2014,96.03
2015,95.17
2016,93.44
2014,49.38
2015,47.99
2016,50.88
2014,35.77
2015,34.3
2016,35.45
2014,163.86
2015,166.11
2016,173.56
2014,129.42
2015,130.32
2016,131.08
2013,30.81
2014,33.08
2015,27.86
2016,32.34
2014,9.34
2015,8.63
2016,8.8
2014,33.91
2015,33.62
2016,34.41
2014,33.71
2015,33.18
2016,34.48
2014,27.9
2015,28.76
2016,28.54
2014,37.41
2015,37.26
2016,37.62
2014,38.61
2015,37.36
2016,38.14
2014,8.8
2015,8.84
2016,8.82
2014,29.5
2015,30.21
2016,29.73
2014,16.23
2015,15.86
2016,16.16
2014,17.12
2015,15.83
2016,15.98
2014,22.61
2015,22.44
2016,22.98
2014,10.49
2015,10.43
2016,10.41
2013,60.76
2014,50.79
