,Local Government Renewables Action Tracker - Engagement Data,,,,,,,,,,,,,,,,
,Updated 12/21/2022,,,,,,,,,,,,,,,,
,Local Government,,,Engagement Categories,,,,Engagement Details,,,,,,Local Government Data,,,
,Ref. No.,Local Government Name,State Name,Regulatory,Legislative,Utility,ISO/RTO,Status,Year,Description,Regional Coalition,Utility Name,Type of Utility,Source,Latitude,Longitude,ISO or FERC Region
,1,Fayetteville,Arkansas,,1,,,Complete,2019,"The City of Fayetteville, Arkansas, joined a coalition of non-profits and businesses to remove regulatory barriers to solar PV in the state. The city signed on as a supporter for the Solar Access Act of 2019 bill (SB145), which removed Arkansas' ban on third-party financing for solar projects and tripled the maximum solar size limit for businesses. This act was passed with nearly unanimous support in the State General Assembly on March 14, 2019. ",,"AEP / SWEPCO, Ozarks Electric Cooperative",IOU,https://ar.audubon.org/conservation/sb145-solar-access-act-2019,36.075787,-94.169454,SPP
,2,Multiple Cities (Local Government Sustainable Energy Coalition - LGSEC),California,1,1,,,Ongoing,2007-present,"The Local Government Sustainable Energy Coalition (LGSEC) is a California statewide membership network representing local interests at the state level. Since 2007, LGSEC has commented on more than 24 energy efficiency matters, supported clean energy bills such as AB 2466 to enable virtual net metering, and engaged regulators and legislators on local governments' contribution to state-wide climate action.",Local Government Sustainable Energy Coalition (LGSEC),,,"http://www.lgsec.org/wp-content/uploads/2020/01/2019-LGSEC-impact-report.pdf

http://www.lgsec.org/about/our-members/",,,CAISO
,3,San Diego,California,,1,,,Ongoing,2019-present,"The City of San Diego, California is a partner in region-wide effort with four other municipalities including Encinitas, La Mesa, Chula Vista, and Imperial Beach to establish a community choice aggregation program (CCA). The City partnered to create a CCA in order to increase its control over its electricity supply, allowing it to purchase clean energy at more competitive rates for its citizens and accelerate progress towards its goal of 100% renewable energy by 2035.",,San Diego Gas & Electric,IOU,https://www.sandiegouniontribune.com/business/energy-green/story/2019-09-11/chula-vista-and-la-mesa-commit-to-san-diego-led-community-choice-energy-agreement,32.715736,-117.161087,CAISO
,4,Boulder,Colorado,1,,,,Complete,2018,"In 2018, the City of Boulder, Colorado, both testified before and submitted comments to the Colorado Public Utilities Commission (PUC) on Xcel Energy's Electric Resource Plan. Boulder encouraged the PUC to require Xcel Energy to ensure the plan is in the public interest, to reduce its investment in fossil fuel generation and to focus its acquisitions on wind, solar and battery storage. The city's work in collaboration with other communities, customers and interest groups, led the Commission to approve the Colorado Energy Plan, which will add nearly two gigawatts of new wind and solar and retire two coal plants ten years early.",,Xcel Energy,IOU,"NO. 16A-0396E

https://www.dora.state.co.us/pls/efi/efi_p2_v2_demo.show_document?p_dms_document_id=881206&p_session_id=",40.016869,-105.279617,Southwest
,5,Denver,Colorado,,,1,,Complete,2018,"The City of Denver, Colorado, signed a partnership agreement with its local utility, Xcel Energy. In 2018, the city and Xcel Energy signed the Energy Future Partnership with the goal of collaborating to accelerate progress on climate goals, economic development, and technological innovation. The city hopes that the partnership will play a key role in helping it to reach its goal of reducing greenhouse gas emissions by 80% by 2050.",,Xcel Energy,IOU,https://www.luckydistrict7.org/news/denver-xcel-energy-sign-energy-future-partnership-to-achieve-climate-goals,39.742043,-104.991531,Southwest
,6,Multiple Cities (Colorado Communities for Climate Action - CC4CA),Colorado,1,1,,,Ongoing,2018–present,"Colorado Communities for Climate Action (CC4CA) is a coalition of 34 local governments which advocates for more aggressive climate policies. In 2019, the coalition successfully supported thirteen bills tackling carbon pollution by providing testimony from local elected officials and staff, publishing op-eds in newspapers across the state, and meeting frequently with legislators. Following the coalition's engagement, the Colorado General Assembly passed a GHG inventory bill, codified statewide GHG goals, and directed the Air Quality Control Commission to adopt regulations for achieving those goals. CC4CA played a lead role in the adoption of regulations modernizing the state's GHG inventory process and phasing out hydrofluorocarbons (HFCs). CC4CA also helped secure a critical Public Utilities Commission decision giving rural co-op communities a better chance at being able to expand their use of renewable energy.",Colorado Communities for Climate Action (CC4CA),,,"https://static1.squarespace.com/static/5df11e0c4665f43b095e0016/t/5e3dbd46475a525571d7efce/1581104458822/CC4CA+Highlights+2020-02.pdf

https://www.cc4ca.org/who-we-are",,,Southwest
,7,Multiple Cities (City Mayor Coalition),District of Columbia,,1,,,Complete,2020,"64 City Mayors signed on to a letter to the Congress, urging the U.S. Senate and House of Representatives to update and extend tax credits for clean energy solutions in the next coronavirus recovery package. Specifically, they would like to incentivize clean energy technologies such as renewable energy, energy storage, electric vehicles and offshore wind power, and eneryg efficiency, which will help these cities maintain their progress of improving air quality and public health despite the unprecedented challenges posed by COVID-19. ",City Mayor Coalition,,,https://environmentamerica.org/sites/environment/files/resources/EA%20Clean%20Energy%20Tax%20Incentives%20Mayors%20Signers.pdf,,,
,8,Washington,District of Columbia,1,,,,Ongoing,2018-present,"The District of Columbia (DC) has advocated before the DC Public Service Commission (PSC) on various issues related to renewable energy, such as interconnection. For example, the District has been part of PSC's RM-9 Working Group, which addresses issues of interconnection timelines for various renewable energy options, and has also been an active participant in PSC Formal Cases including providing comments on Formal Case 1050 that would impact community solar interconnection, Formal Case 1130 regarding grid modernization, and Formal Case 1017 regarding long-term renewable power purchase agreements.",,,,"FC1050 - 236

https://edocket.dcpsc.org/apis/api/filing/download?attachId=101892&guidFileName=9adf7a39-00ef-4554-baaa-9c26fda33596.pdf

https://database.aceee.org/city/renewable-energy-efforts",38.907200,-77.036900,PJM
,9,St. Petersburg,Florida,1,,,,Complete,2019,"In August 2019 St. Petersburg submitted a letter to the Florida Public Service Commission (PSC) in response to the proposals submitted by the seven Florida utilities, which were not in alignment with city renewable energy goals and distributed generation and which called for reductions to their energy efficiency targets under the Florida Energy Efficiency and Conservation Act. Four out of seven FL utilities had proposed 0% energy efficiency targets. The letter stated that the city ""needs a much bolder commitment from [Duke Energy Florida] DEF in supporting carbon reduction through energy efficiency and renewable energy"". It also requests that the Commission give the following three directives to DEF: 
""1) Increase its energy efficiency goals and develop programs that can reach all customers, especially low-income customers, as part of its obligations under the Florida Energy Efficiency and Conservation Act (FEECA).
2) Require Florida electric utilities to share with local governments anonymized energy consumption data at the census block level to allow cities and counties to effectively design and implement their own energy conservation programs for residents and businesses.
3) Adopt a more realistic cost-effectiveness test in place of the Ratepayer Impact Measure (RIM).""
In November the PSC voted against the utilities' proposals to lower energy efficiency targets and required them to keep the energy efficiency targets set in 2014.",,Duke Energy  Florida,IOU,http://www.psc.state.fl.us/library/filings/2019/06952-2019/06952-2019.pdf,27.773056,-82.639999,Southeast
,10,Atlanta,Georgia,1,,,,Complete,2019,"The City of Atlanta, Georgia, submitted comments to the Georgia Public Service Commission (PSC) regarding Georgia Power's 2019 integrated resource plan (IRP). In its comments, the city asked for expanded access to residential energy efficiency and renewable energy programs, continued and improved access to utility data to improve energy efficiency efforts, increased access to renewable energy, and expressed support for a local microgrid to improve community resilience.  The City suggested that Georgia Power could consider expanding the Energy Assessment and Solutions Program (EASP), rounding up electric bills to the nearest dollar with proceeds going towards energy efficiency efforts in low-income communities,, and introducing financing programs that base financing eligibility on utility payment history and ability-to-pay metrics. These efforts can help Georgia Power expand access to residential energy efficiency and renewable energy programs that reduce the energy burden of most vulnerable populations. After many customers requested the expansion of clean energy programs and more aggressive renewable goals, the commission required Georgia Power to increase its amount of solar energy procurement over the next five years from 1GW to 2.2GW. ",,Georgia Power,IOU,https://pv-magazine-usa.com/2019/07/16/regulators-force-georgia-power-to-double-its-solar/,33.748997,-84.387985,Southeast
,11,City and County of Honolulu,Hawaii,1,,,,Ongoing,2018-present,"The City and County of Honolulu, Hawaii, has engaged with the Hawaii Public Utility Commission (PUC) on an investigation of performance-based regulation (PBR). The City and County has participated in workshops and working group meetings and has filed written comments. In response to the PUC establishing ""Greenhouse Gas Reduction"" as one of the objectives associated with the broader goal of advancing societal outcomes, the City and County has urged the PUC to include a ""financial incentive or reward for accelerated GHG Reduction.""",,Hawaiian Electric Companies,IOU,"DOCKET NO. 2018-0088

https://dms.puc.hawaii.gov/dms/DocumentViewer?pid=A1001001A19C11A90033A00063

https://dms.puc.hawaii.gov/dms/DocumentViewer?pid=A1001001A19E24A83601C00601",21.315603,-157.858093,NA
