,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
1,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2022,,Solar,Off-site Physical PPA,0.026,DC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA Fairhope Solar Research Project,Fairhope,Alabama,2022,,https://www.amea.com/power/solar-research/,https://www.fairhopeal.gov/Home/Components/News/News/6758/66,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?plant=b921a0a1-7fac-48b2-bac1-3b89807731ce,https://www.amea.com/wp-content/uploads/2022/05/FairhopeFAQ-v3.pdf,,,,,,,,,,,,,,,,,,,,
2,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2016,,Solar,On-site,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,"Inman Solar, Inc. ",AMEA Headquarters Solar Research Project ,Montgomery County,Alabama,2016,,https://www.amea.com/power/solar-research/,https://www.amea.com/wp-content/uploads/2017/11/AMEA-Solar-Research-Project-Fact-Sheet.pdf,https://www.amea.com/wp-content/uploads/AMEA-Solar-Research-Project-Dedication-press-release.pdf,,,,,,,,,,,,,,,,,,,,,
3,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2019,,Solar,Off-site Physical PPA,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA Alexander Solar Research Project,Alexander,Alabama,2019,74,https://www.amea.com/power/solar-research/,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?page=c620a92c-6d70-4cbb-9c2b-2b42ef2efe75&plant=4593ce36-8f62-449b-8f97-8c14637fa9b4&splang=en-US,,,,,,,,,,,,,,,,,,,,,,
4,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2017,,Solar,Off-site Physical PPA,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA Dothan Solar Research Project,Dothan,Alabama,2017,74,https://www.amea.com/power/solar-research/,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?plant=8b979556-b468-484d-a893-6dddd6b7f895&splang=,,,,,,,,,,,,,,,,,,,,,,
5,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2018,,Solar,Off-site Physical PPA,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA Foley Solar Research Project,Foley,Alabama,2018,,https://www.amea.com/power/solar-research/,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?page=ef94ad10-c327-4f17-afeb-cc7da7e7c97b&plant=2e8e9b4c-b315-4ba2-a06d-ba3a4a241ae1&splang=en-US,,,,,,,,,,,,,,,,,,,,,,
6,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2019,,Solar,Off-site Physical PPA,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA LaFayette Solar Research Project,LaFayette,Alabama,2019,74,https://www.amea.com/power/solar-research/,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?page=a3dba999-7c22-49bc-a523-5fa596ac501e&plant=be987a0b-8f69-41d9-a9f6-b44e87382519&splang=en-US,,,,,,,,,,,,,,,,,,,,,,
7,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2019,,Solar,Off-site Physical PPA,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA Lanett Solar Research Project,Lanett,Alabama,2019,74,https://www.amea.com/power/solar-research/,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?page=fe32c1a8-0d0e-48d4-98dd-f3b2442b4483&plant=f1cd9d1c-1794-43c7-88cd-e4eada06f71c&splang=en-US,,,,,,,,,,,,,,,,,,,,,,
8,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2017,,Solar,Off-site Physical PPA,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA Luverne Solar Research Project,Luverne,Alabama,2017,72,https://www.amea.com/power/solar-research/,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?plant=e253adff-7bd4-491c-8d59-c25a5b7cb006&splang=,,,,,,,,,,,,,,,,,,,,,,
9,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2019,,Solar,Off-site Physical PPA,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA Opelika Solar Research Project,Opelika,Alabama,2019,74,https://www.amea.com/power/solar-research/,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?page=5c34ab4d-6343-446f-b65d-75b7b1d33bcb&plant=ce0478c6-6b6a-48b1-a5a8-81796d06b4da&splang=en-US,,,,,,,,,,,,,,,,,,,,,,
10,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2018,,Solar,Off-site Physical PPA,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA Sylacauga Solar Research Project,Sylacauga,Alabama,2018,,https://www.amea.com/power/solar-research/,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?page=bda45002-31d6-4870-8bc0-bc2f4a8478bb&plant=bac15775-58fe-41b6-a502-9720e1609e75&splang=en-US,,,,,,,,,,,,,,,,,,,,,,
