Year,Source,Metric,Value
2000,Bioenergy,Electricity Generation (GWh),146422.46
2000,Bioenergy,Public Flows (2022 USD M),13.83
2000,Fossil,Electricity Generation (GWh),9965337.64
2000,Fossil,Public Flows (2022 USD M),1295.68
2000,Geothermal,Electricity Generation (GWh),52571.04
2000,Geothermal,Public Flows (2022 USD M),0.44
2000,Hydropower,Electricity Generation (GWh),2619126.81
2000,Hydropower,Public Flows (2022 USD M),384.12
2000,Marine,Electricity Generation (GWh),546.77
2000,Marine,Public Flows (2022 USD M),0.01
2000,Nuclear,Electricity Generation (GWh),2588111.26
2000,Nuclear,Public Flows (2022 USD M),34.93
2000,Other-Non-renewable,Electricity Generation (GWh),63449.36
2000,Pumped-Storage,Electricity Generation (GWh),87909.91
2000,Solar,Electricity Generation (GWh),1317.64
2000,Solar,Public Flows (2022 USD M),22.36
2000,Wind,Electricity Generation (GWh),30965.71
2000,Wind,Public Flows (2022 USD M),4.39
2000,Total-Sum,Electricity Generation (GWh),15555758.6
2000,Total-Sum,Public Flows (2022 USD M),1755.76
2001,Bioenergy,Electricity Generation (GWh),146449.45
2001,Bioenergy,Public Flows (2022 USD M),6.45
2001,Fossil,Electricity Generation (GWh),10077917.83
2001,Fossil,Public Flows (2022 USD M),2317.29
2001,Geothermal,Electricity Generation (GWh),51678.62
2001,Hydropower,Electricity Generation (GWh),2557776.84
2001,Hydropower,Public Flows (2022 USD M),1043.82
2001,Marine,Electricity Generation (GWh),524.4
2001,Nuclear,Electricity Generation (GWh),2636315.59
2001,Nuclear,Public Flows (2022 USD M),41.59
2001,Other-Non-renewable,Electricity Generation (GWh),68152.93
2001,Pumped-Storage,Electricity Generation (GWh),87697.28
2001,Solar,Electricity Generation (GWh),1684.64
2001,Solar,Public Flows (2022 USD M),329.68
2001,Wind,Electricity Generation (GWh),37745.5
2001,Wind,Public Flows (2022 USD M),51.85
2001,Total-Sum,Electricity Generation (GWh),15665943.08
2001,Total-Sum,Public Flows (2022 USD M),3790.68
2002,Bioenergy,Electricity Generation (GWh),160162.71
2002,Bioenergy,Public Flows (2022 USD M),208
2002,Fossil,Electricity Generation (GWh),10558822.29
2002,Fossil,Public Flows (2022 USD M),2517.51
2002,Geothermal,Electricity Generation (GWh),52604.69
2002,Geothermal,Public Flows (2022 USD M),2.93
2002,Hydropower,Electricity Generation (GWh),2626828.69
2002,Hydropower,Public Flows (2022 USD M),2003.85
2002,Marine,Electricity Generation (GWh),533.9
2002,Nuclear,Electricity Generation (GWh),2661408.66
2002,Nuclear,Public Flows (2022 USD M),186.82
2002,Other-Non-renewable,Electricity Generation (GWh),69790.71
2002,Pumped-Storage,Electricity Generation (GWh),89309.43
2002,Solar,Electricity Generation (GWh),1957.49
2002,Solar,Public Flows (2022 USD M),157.66
2002,Wind,Electricity Generation (GWh),52430.34
2002,Wind,Public Flows (2022 USD M),77.27
2002,Total-Sum,Electricity Generation (GWh),16273848.91
2002,Total-Sum,Public Flows (2022 USD M),5154.04
2003,Bioenergy,Electricity Generation (GWh),173036.73
2003,Bioenergy,Public Flows (2022 USD M),131.2
2003,Fossil,Electricity Generation (GWh),11142907.28
2003,Fossil,Public Flows (2022 USD M),2711.1
2003,Geothermal,Electricity Generation (GWh),53775.79
2003,Geothermal,Public Flows (2022 USD M),0.23
2003,Hydropower,Electricity Generation (GWh),2627632.32
2003,Hydropower,Public Flows (2022 USD M),4384.07
2003,Marine,Electricity Generation (GWh),530.83
2003,Nuclear,Electricity Generation (GWh),2637711.64
2003,Nuclear,Public Flows (2022 USD M),5.33
2003,Other-Non-renewable,Electricity Generation (GWh),68615.01
2003,Pumped-Storage,Electricity Generation (GWh),89244.24
2003,Solar,Electricity Generation (GWh),2376.67
2003,Solar,Public Flows (2022 USD M),63.49
2003,Wind,Electricity Generation (GWh),63397.65
2003,Wind,Public Flows (2022 USD M),144.14
2003,Total-Sum,Electricity Generation (GWh),16859228.16
2003,Total-Sum,Public Flows (2022 USD M),7439.56
2004,Bioenergy,Electricity Generation (GWh),188242.4
2004,Bioenergy,Public Flows (2022 USD M),30
2004,Fossil,Electricity Generation (GWh),11584536.11
2004,Fossil,Public Flows (2022 USD M),1895.75
2004,Geothermal,Electricity Generation (GWh),56060.82
2004,Geothermal,Public Flows (2022 USD M),93.62
2004,Hydropower,Electricity Generation (GWh),2802302.48
2004,Hydropower,Public Flows (2022 USD M),2809.29
2004,Marine,Electricity Generation (GWh),508.64
2004,Nuclear,Electricity Generation (GWh),2740962.25
2004,Nuclear,Public Flows (2022 USD M),831.79
2004,Other-Non-renewable,Electricity Generation (GWh),72074.31
2004,Pumped-Storage,Electricity Generation (GWh),91000.74
2004,Solar,Electricity Generation (GWh),3072.19
2004,Solar,Public Flows (2022 USD M),16.17
2004,Wind,Electricity Generation (GWh),84108.45
2004,Wind,Public Flows (2022 USD M),130.33
2004,Total-Sum,Electricity Generation (GWh),17622868.39
2004,Total-Sum,Public Flows (2022 USD M),5806.95
2005,Bioenergy,Electricity Generation (GWh),208990.23
2005,Bioenergy,Public Flows (2022 USD M),230.05
2005,Fossil,Electricity Generation (GWh),12148685.72
2005,Fossil,Public Flows (2022 USD M),3126.84
2005,Geothermal,Electricity Generation (GWh),58466.67
2005,Geothermal,Public Flows (2022 USD M),196.69
2005,Hydropower,Electricity Generation (GWh),2919237.09
2005,Hydropower,Public Flows (2022 USD M),1846.96
2005,Marine,Electricity Generation (GWh),516.36
2005,Nuclear,Electricity Generation (GWh),2769058.1
2005,Nuclear,Public Flows (2022 USD M),33.24
2005,Other-Non-renewable,Electricity Generation (GWh),77212.12
2005,Pumped-Storage,Electricity Generation (GWh),93979.4
2005,Solar,Electricity Generation (GWh),4387.92
2005,Solar,Public Flows (2022 USD M),265.47
2005,Wind,Electricity Generation (GWh),103243.2
2005,Wind,Public Flows (2022 USD M),446.7
2005,Total-Sum,Electricity Generation (GWh),18383776.81
2005,Total-Sum,Public Flows (2022 USD M),6145.95
2006,Bioenergy,Electricity Generation (GWh),221633.05
2006,Bioenergy,Public Flows (2022 USD M),355.88
2006,Fossil,Electricity Generation (GWh),12681251.44
2006,Fossil,Public Flows (2022 USD M),2398.15
2006,Geothermal,Electricity Generation (GWh),59769.34
2006,Geothermal,Public Flows (2022 USD M),9.76
2006,Hydropower,Electricity Generation (GWh),3031274.81
2006,Hydropower,Public Flows (2022 USD M),3225.17
2006,Marine,Electricity Generation (GWh),490.73
2006,Marine,Public Flows (2022 USD M),0.4
2006,Nuclear,Electricity Generation (GWh),2791900.56
2006,Nuclear,Public Flows (2022 USD M),143.82
2006,Other-Non-renewable,Electricity Generation (GWh),77828.62
2006,Pumped-Storage,Electricity Generation (GWh),94249.19
2006,Solar,Electricity Generation (GWh),5998.61
2006,Solar,Public Flows (2022 USD M),65.36
2006,Wind,Electricity Generation (GWh),129545.44
2006,Wind,Public Flows (2022 USD M),197.12
2006,Total-Sum,Electricity Generation (GWh),19093941.79
2006,Total-Sum,Public Flows (2022 USD M),6395.66
2007,Bioenergy,Electricity Generation (GWh),245019.24
2007,Bioenergy,Public Flows (2022 USD M),236.68
2007,Fossil,Electricity Generation (GWh),13466119.3
